,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
1216,#Person1# and #Person2# agree that the government cannot handle the unemployment problem efficiently.,The government has to face a lot of social problems now.,#Person1# and #Person2# think unemployment causes social problems. #Person1# thinks it is difficult for any government to handle it efficiently.,#Person1# thinks the government has to face a lot of social problems now. #Person2# thinks it is difficult for any government to handle it efficiently.
1217,#Person1# and #Person2# think that it's hard for the government to handle the social problems caused by unemployment.,The government has to face a lot of social problems now.,#Person1# and #Person2# think unemployment causes social problems. #Person1# thinks it is difficult for any government to handle it efficiently.,#Person1# thinks the government has to face a lot of social problems now. #Person2# thinks it is difficult for any government to handle it efficiently.
1218,#Person2# suggests #Person1# get a costume of a Canadian Mountie for a dress party. They will go to the shopping center for that at ten o'clock on Saturday.,The party is going to be a country themed party. The party will be at the shopping center next Saturday.,#Person1# wants to buy a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday and they will start at the shopping center.,#Person1# wants to get a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday. They will start at the shopping center next Saturday.
1219,#Person2# gives advice to #Person1# on what to wear at the party and plans to buy the costume with #Person1# in the shopping center at ten o'clock on Saturday,The party is going to be a country themed party. The party will be at the shopping center next Saturday.,#Person1# wants to buy a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday and they will start at the shopping center.,#Person1# wants to get a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday. They will start at the shopping center next Saturday.
1220,#Person1# doesn't know what to wear and where to get a costume for a country theme party while #Person2# knows and will help #Person1#.,The party is going to be a country themed party. The party will be at the shopping center next Saturday.,#Person1# wants to buy a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday and they will start at the shopping center.,#Person1# wants to get a costume for a fancy dress party next Saturday. #Person2# will come shopping with #Person1# next Saturday. They will start at the shopping center next Saturday.
1221,#Person1# and #Person2# go to a nightclub in Beijing and dance there. #Person1# prefers fast dances to slow dances.,The band Four and One is playing a waltz.,#Person2# suggests going to a good nightclub nearby and they decide to dance. They like the music and the band and they decide to disco.,#Person1# and #Person2# are going to a good nightclub in Beijing. They are going to dance to fast music and disco dancing. They will go to the next dance.
1222,#Person1# and #Person2# go to the nightclub to dance and #Person1# prefers fast dances to slow dances.,The band Four and One is playing a waltz.,#Person2# suggests going to a good nightclub nearby and they decide to dance. They like the music and the band and they decide to disco.,#Person1# and #Person2# are going to a good nightclub in Beijing. They are going to dance to fast music and disco dancing. They will go to the next dance.
1223,"#Person2# takes #Person1# to a nightclub, and #Person1# has fun with fast dances.",The band Four and One is playing a waltz.,#Person2# suggests going to a good nightclub nearby and they decide to dance. They like the music and the band and they decide to disco.,#Person1# and #Person2# are going to a good nightclub in Beijing. They are going to dance to fast music and disco dancing. They will go to the next dance.
1224,#Person1# wants to have a farm and gets away from working 9 to 5 in an office. #Person2#'d visit #Person1#.,Person1 wants to run a farm.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would need a lot of training before becoming a farmer. #Person1# tells #Person2# #Person1#'s uncle owns a farm and #Person1# loves being in the countryside with farm animals and green fields. #Person2# would come and visit #Person1#.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would like to try it. #Person1#'s uncle owns a farm and #Person1#'s uncle has a farm. #Person2# would come and visit #Person1#.
1225,"#Person2# thinks that #Person1#'s plan to run a farm and become a farmer is different from the current job, and #Person2# will come and visit #Person1# on a farm.",Person1 wants to run a farm.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would need a lot of training before becoming a farmer. #Person1# tells #Person2# #Person1#'s uncle owns a farm and #Person1# loves being in the countryside with farm animals and green fields. #Person2# would come and visit #Person1#.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would like to try it. #Person1#'s uncle owns a farm and #Person1#'s uncle has a farm. #Person2# would come and visit #Person1#.
1226,#Person1# decides to own a farm and live a different life while #Person2# thinks it's difficult.,Person1 wants to run a farm.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would need a lot of training before becoming a farmer. #Person1# tells #Person2# #Person1#'s uncle owns a farm and #Person1# loves being in the countryside with farm animals and green fields. #Person2# would come and visit #Person1#.,#Person1# wants to have a farm. #Person2# thinks it would be hard work and #Person1# would like to try it. #Person1#'s uncle owns a farm and #Person1#'s uncle has a farm. #Person2# would come and visit #Person1#.
1227,The high price of a two-for-one happy hour special shocks #Person1#.,The Happy Hour special is two-for-one for two pints of Heineken and Budweiser.,#Person1# and #Person2# are ordering drinks and appetizers at a two-for-one happy hour special. They decide to have some nachos and mozzarella sticks.,#Person2# offers Heineken and Budweiser for two-for-one happy hour specials. #Person1# will get some nachos and mozzarella sticks for 80 bucks.
